EventID,MovieName,ExtractionType,EventDescription,Start,End,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Aligned_Event_Number,Comments,Normalised Video Clip Index,Normalised Plot Sentence Index
13,Flight(2012),Manually Extracted Event,"and is greeted by his old friend Charlie Anderson,",0:27:27,0:27:42,1647,1662,15,568,618,50,Success,process,2,,0.205183585,0.151385928
14,Flight(2012),Manually Extracted Event,who represents the airline's pilots union.,0:30:59,0:31:02,1859,1862,3,619,661,42,Fail,stative_event,0,"This event has another corresponding video clip in the movie 0:32:14-0:32:19, and this clip is also failed to align with ML-extracted events.",0.232117901,0.164978678
15,Flight(2012),Manually Extracted Event,"He tells Whip that he managed to save 96 out of 102, losing two crew members and four passengers,",0:27:44,0:28:07,1664,1687,23,662,759,97,Fail,process,0,,0.207343413,0.176439232
16,Flight(2012),Manually Extracted Event,but mentions his co-pilot is in a coma.,0:31:52,0:32:02,1912,1922,10,760,799,39,Fail,process,0,,0.23885148,0.202558635
17,Flight(2012),Manually Extracted Event,Whip sneaks away for a cigarette,0:38:44,0:39:01,2324,2341,17,800,832,32,Success,process,2,,0.291195528,0.213219616
18,Flight(2012),Manually Extracted Event,"and meets Nicole Maggen,",0:39:02,0:39:48,2342,2388,46,833,857,24,Success,process,6,,0.293482404,0.222014925
19,Flight(2012),Manually Extracted Event,a heroin addict recovering from an overdose in the same hospital.,0:42:04,0:42:10,2524,2530,6,858,923,65,Fail,stative_event,0,,0.31660526,0.228678038
20,Flight(2012),Manually Extracted Event,"The next morning, his friend and drug dealer Harling Mays picks him up from the hospital.",0:45:42,0:46:29,2742,2789,47,924,1013,89,Success,process,3,,0.344301868,0.246268657
21,Flight(2012),Manually Extracted Event,"Having retired to his late father's farm,",0:46:35,0:47:37,2795,2857,62,1015,1056,41,Success,process,9,,0.351035447,0.270522388
22,Flight(2012),Manually Extracted Event,"Whip meets Charlie and attorney Hugh Lang,",0:52:16,0:52:26,3136,3146,10,1057,1099,42,Fail,process,0,,0.39435904,0.281716418
23,Flight(2012),Manually Extracted Event,who explain that the National Transportation Safety Board (NTSB) performed a drug test while he was unconscious.,0:54:15,0:54:36,3255,3276,21,1100,1212,112,Fail,process,0,,0.40947783,0.293176972
24,Flight(2012),Manually Extracted Event,"Results showed that Whip was intoxicated during the flight,",0:54:58,0:56:00,3298,3360,62,1213,1272,59,Fail,stative_event,0,,0.414940922,0.323294243
25,Flight(2012),Manually Extracted Event,although Hugh gets the toxicology report voided on technical grounds.,1:34:32,1:34:42,5672,5682,10,1273,1342,69,Fail,stative_event,0,,0.71655444,0.339285714
26,Flight(2012),Manually Extracted Event,Whip visits,0:58:15,1:00:50,3495,3650,155,1343,1354,11,Success,process,13,,0.439969508,0.357942431
27,Flight(2012),Manually Extracted Event,"and becomes intimate with Nicole,",1:01:37,1:03:37,3697,3817,120,1355,1388,33,Success,change_of_state,13,,0.465633338,0.361140725
28,Flight(2012),Manually Extracted Event,but his drinking habits clash with Nicole's attempts to stay drug-free.,1:27:50,1:31:00,5270,5460,190,1389,1460,71,Success,process,8,,0.665480879,0.370202559
29,Flight(2012),Manually Extracted Event,"Later, he attends a funeral for Katerina,",1:15:31,1:15:40,4531,4540,9,1461,1502,41,Success,process,1,,0.57159192,0.389392324
30,Flight(2012),Manually Extracted Event,"a flight attendant who died in the crash,",0:30:50,0:30:55,1850,1855,5,1503,1544,41,Fail,change_of_state,0,,0.230974463,0.400586354
31,Flight(2012),Manually Extracted Event,and with whom Whip had spent the night before the incident.,0:00:32,0:01:00,32,60,28,1545,1604,59,Fail,process,0,,0,0.411780384
32,Flight(2012),Manually Extracted Event,"He sees a surviving crew member, Margaret,",1:15:52,1:16:59,4552,4619,67,1605,1647,42,Success,process,4,,0.574259942,0.427771855
33,Flight(2012),Manually Extracted Event,and asks her to tell the NTSB that he was sober.,1:17:00,1:19:17,4620,4757,137,1648,1696,48,Success,process,3,,0.58289925,0.439232409
34,Flight(2012),Manually Extracted Event,Whip pays a visit to his co-pilot Ken Evans Whip,1:22:50,1:26:53,4970,5213,243,1698,1741,48,Success,process,10,,0.627366281,0.452558635
35,Flight(2012),Manually Extracted Event,after he awakens from his coma.,0:00:00,0:00:00,0,0,0,1742,1773,31,Fail,change_of_state,0,This event has no corresponding video clip in the movie.,,
36,Flight(2012),Manually Extracted Event,Evans has likely lost much of his ability to walk,1:24:03,1:24:11,5043,5051,8,1774,1823,49,Fail,change_of_state,0,,0.636640833,0.472814499
37,Flight(2012),Manually Extracted Event,and may never pilot an airplane again.,1:24:12,1:24:14,5052,5054,2,1824,1862,38,Fail,non_event,0,,0.637784271,0.486140725
38,Flight(2012),Manually Extracted Event,"Although upset, Evans has no intention of telling the NTSB that Whip was drinking.",1:25:07,1:25:58,5107,5158,51,1863,1945,82,Fail,non_event,0,,0.644771948,0.496535181
39,Flight(2012),Manually Extracted Event,Nicole decides to separate from Whip after he fails to stay sober,1:29:36,1:32:37,5376,5557,181,1946,2011,65,Success,process,14,,0.678948037,0.518656716
40,Flight(2012),Manually Extracted Event,"and he spontaneously drives to the home of his ex-wife and son,",1:37:30,1:38:40,5850,5920,70,2012,2075,63,Success,process,6,,0.739169102,0.536247335
41,Flight(2012),Manually Extracted Event,both of whom resent him.,1:38:42,1:39:55,5922,5995,73,2076,2100,24,Fail,stative_event,0,,0.748316605,0.553304904
42,Flight(2012),Manually Extracted Event,"Hounded by the media,",1:39:58,1:40:12,5998,6012,14,2101,2122,21,Fail,process,0,,0.757972303,0.559968017
43,Flight(2012),Manually Extracted Event,"he stays with Charlie until the NTSB hearing,",1:40:30,1:41:48,6030,6108,78,2123,2168,45,Fail,process,0,,0.762037861,0.565831557
44,Flight(2012),Manually Extracted Event,vowing not to drink.,1:41:49,1:41:56,6109,6116,7,2169,2189,20,Fail,process,0,,0.772074705,0.578091684
45,Flight(2012),Manually Extracted Event,"The night before the hearing, Charlie and Hugh move Whip to a guarded hotel room with no alcohol.",1:42:06,1:44:03,6126,6243,117,2190,2287,97,Success,process,5,,0.774234532,0.583688699
46,Flight(2012),Manually Extracted Event,He finds the door to an adjacent room unlocked,1:46:03,1:46:37,6363,6397,34,2288,2334,46,Success,process,5,,0.804345064,0.609808102
47,Flight(2012),Manually Extracted Event,and raids the minibar there.,1:47:03,1:48:53,6423,6533,110,2335,2363,28,Success,process,9,,0.811967984,0.622334755
48,Flight(2012),Manually Extracted Event,"The next morning, Charlie discovers Whip passed out drunk.",1:48:54,1:50:07,6534,6607,73,2365,2423,58,Success,process,6,,0.826070385,0.63033049
49,Flight(2012),Manually Extracted Event,"Whip and Charlie call Harling to provide Whip with cocaine, hoping to get him alert enough to make it through the hearing.",1:50:27,1:54:14,6627,6854,227,2424,2546,122,Success,process,18,,0.83788591,0.646055437
50,Flight(2012),Manually Extracted Event,"At the hearing, lead NTSB investigator Ellen Block explains that a damaged elevator assembly jackscrew was the primary cause of the crash.",1:59:01,1:59:49,7141,7189,48,2547,2685,138,Fail,process,0,,0.903188921,0.678837953
51,Flight(2012),Manually Extracted Event,"She commends Whip on his valor and skill,",1:55:47,1:58:12,6947,7092,145,2686,2727,41,Fail,process,0,,0.878541481,0.715884861
52,Flight(2012),Manually Extracted Event,noting that no other pilot was able to land the plane in simulations of the crash.,1:35:55,1:36:13,5755,5773,18,2728,2810,82,Fail,process,0,,0.727099479,0.727078891
53,Flight(2012),Manually Extracted Event,"She then reveals that two empty vodka bottles were found in the plane's trash, despite beverages not being served to passengers,",2:01:13,2:01:31,7273,7291,18,2811,2939,128,Fail,process,0,,0.919959344,0.749200426
54,Flight(2012),Manually Extracted Event,and that Whip's blood test was excluded for technical reasons.,2:01:35,2:02:19,7295,7339,44,2940,3002,62,Fail,process,0,,0.922754415,0.78358209
55,Flight(2012),Manually Extracted Event,She then states the only other member of the crew to test positive for alcohol was Katerina.,2:03:51,2:03:57,7431,7437,6,3003,3095,92,Fail,process,0,,0.940033033,0.800373134
56,Flight(2012),Manually Extracted Event,"Whip pauses, unable to bring himself to blame Katerina for his actions.",2:03:16,2:04:15,7396,7455,59,3096,3167,71,Success,change_of_state,4,,0.93558633,0.825159915
57,Flight(2012),Manually Extracted Event,He collects himself,2:04:18,2:04:23,7458,7463,5,3168,3187,19,Fail,process,0,,0.943463346,0.84434968
58,Flight(2012),Manually Extracted Event,"and comes clean, admitting to being intoxicated the day of the crash.",2:04:25,2:05:25,7465,7525,60,3188,3257,69,Fail,process,0,,0.944352687,0.849680171
59,Flight(2012),Manually Extracted Event,"A tearful Whip also admits that he is presently drunk and has a problem, coming to terms with his alcoholism.",2:05:30,2:05:53,7530,7553,23,3258,3367,109,Fail,process,0,,0.95261085,0.868336887
60,Flight(2012),Manually Extracted Event,"Thirteen months later, an imprisoned Whip is lecturing a support group of fellow inmates telling them he is glad to be sober and doesn't regret doing the right thing.",2:06:20,2:09:21,7580,7761,181,3369,3535,166,Success,process,4,,0.958963283,0.897921109
61,Flight(2012),Manually Extracted Event,"He is also working to rebuild his relationship with his son,",2:10:20,2:11:28,7820,7888,68,3536,3596,60,Success,process,5,,0.989454961,0.942430704
62,Flight(2012),Manually Extracted Event,who visits to interview Whip for a college application essay titled "The most fascinating person that I've never met".,2:10:52,2:11:20,7852,7880,28,3597,3715,118,Fail,process,0,,0.993520518,0.958688699
63,Flight(2012),Manually Extracted Event,"He begins by asking, ""Who are you?""",2:11:30,2:11:40,7890,7900,10,3716,3751,35,Fail,process,0,,0.998348367,0.990405117
64,Flight(2012),Manually Extracted Event,"As a plane flies overhead, Whip replies, ""That's a good question.""",2:11:43,2:11:53,7903,7913,10,3752,3818,66,Fail,process,0,,1,1
65,Flight(2012),Machine Learning Extracted Event,The woman climbs on the bed.,0:02:58,0:03:03,,,5,,,28,Fail,,0,,,
66,Flight(2012),Machine Learning Extracted Event,She straddles the man.,0:03:02,0:03:08,,,6,,,22,Fail,,0,,,
67,Flight(2012),Machine Learning Extracted Event,She puts the joint to his lips.,0:03:14,0:03:19,,,5,,,31,Fail,,0,,,
68,Flight(2012),Machine Learning Extracted Event,She gets off the bed.,0:03:25,0:03:31,,,6,,,21,Fail,,0,,,
69,Flight(2012),Machine Learning Extracted Event,He smokes his cigarette.,0:03:32,0:03:37,,,5,,,24,Success,,1,,,
70,Flight(2012),Machine Learning Extracted Event,He sits up and snorts a line of cocaine.,0:03:39,0:03:45,,,6,,,40,Success,,1,,,
71,Flight(2012),Machine Learning Extracted Event,"The man walks out of the room, dressed in a black suit and sporting dark glasses under a pilot's cap.",0:03:50,0:03:59,,,9,,,101,Fail,,0,,,
72,Flight(2012),Machine Learning Extracted Event,An airplane pin is on his lapel.,0:03:56,0:04:02,,,6,,,32,Fail,,0,,,
73,Flight(2012),Machine Learning Extracted Event,"People run across the tarmac, as rain lashes the airport.",0:04:03,0:04:10,,,7,,,57,Fail,,0,,,
74,Flight(2012),Machine Learning Extracted Event,Lightning flashes in the distance.,0:04:06,0:04:12,,,6,,,34,Fail,,0,,,
75,Flight(2012),Machine Learning Extracted Event,"The man, now in a raincoat, walks under a parked South Jet airplane.",0:04:14,0:04:20,,,6,,,68,Fail,,0,,,
76,Flight(2012),Machine Learning Extracted Event,"He pauses near one of the wheels, opens his mouth, and sprays some mouth freshener.",0:04:18,0:04:23,,,5,,,83,Fail,,0,,,
77,Flight(2012),Machine Learning Extracted Event,"He trots to the mobile stairway leading to the passenger walkway, and slips on the first step.",0:04:25,0:04:34,,,9,,,94,Fail,,0,,,
78,Flight(2012),Machine Learning Extracted Event,He joins the passengers through a side door.,0:04:31,0:04:37,,,6,,,44,Fail,,0,,,
79,Flight(2012),Machine Learning Extracted Event,Whitaker sits next to his copilot.,0:05:13,0:05:19,,,6,,,34,Fail,,0,,,
80,Flight(2012),Machine Learning Extracted Event,SOMEONE inhales the oxygen.,0:05:38,0:05:44,,,6,,,27,Fail,,0,,,
81,Flight(2012),Machine Learning Extracted Event,SOMEONE fidgets on his side of the cockpit.,0:05:57,0:06:03,,,6,,,43,Fail,,0,,,
82,Flight(2012),Machine Learning Extracted Event,SOMEONE watches as SOMEONE brushes his hair.,0:06:07,0:06:14,,,7,,,44,Fail,,0,,,
83,Flight(2012),Machine Learning Extracted Event,"A woman steps out of a room at Hotel Atlanta, carrying a folded up massage table.",0:06:33,0:06:41,,,8,,,81,Fail,,0,,,
84,Flight(2012),Machine Learning Extracted Event,"She wears a dress, and has a small tattoo on her shoulder.",0:06:38,0:06:45,,,7,,,58,Fail,,0,,,
85,Flight(2012),Machine Learning Extracted Event,She pulls some bills from a bundle of cash.,0:06:42,0:06:48,,,6,,,43,Fail,,0,,,
86,Flight(2012),Machine Learning Extracted Event,She walks to a car and places the massage table in the trunk.,0:06:51,0:06:58,,,7,,,61,Fail,,0,,,
87,Flight(2012),Machine Learning Extracted Event,She smokes as she makes a call from the driver’s seat.,0:06:54,0:07:01,,,7,,,54,Fail,,0,,,
88,Flight(2012),Machine Learning Extracted Event,"She leans on the steering wheel, and lowers the phone to the passenger seat.",0:07:05,0:07:12,,,7,,,76,Fail,,0,,,
89,Flight(2012),Machine Learning Extracted Event,A man snorts coke.,0:07:16,0:07:21,,,5,,,18,Fail,,0,,,
90,Flight(2012),Machine Learning Extracted Event,He looks SOMEONE over.,0:07:30,0:07:36,,,6,,,22,Fail,,0,,,
91,Flight(2012),Machine Learning Extracted Event,SOMEONE drops his towel.,0:08:02,0:08:07,,,5,,,24,Fail,,0,,,
92,Flight(2012),Machine Learning Extracted Event,He holds a small square.,0:08:43,0:08:49,,,6,,,24,Fail,,0,,,
93,Flight(2012),Machine Learning Extracted Event,SOMEONE sits facing SOMEONE.,0:09:27,0:09:32,,,5,,,28,Fail,,0,,,
94,Flight(2012),Machine Learning Extracted Event,Pushes the side stick forward.,0:09:35,0:09:41,,,6,,,30,Success,,1,,,
95,Flight(2012),Machine Learning Extracted Event,The cockpit shakes.,0:09:45,0:09:50,,,5,,,19,Success,,2,,,
96,Flight(2012),Machine Learning Extracted Event,SOMEONE takes the yoke and pulls back.,0:09:59,0:10:04,,,5,,,38,Success,,2,,,
97,Flight(2012),Machine Learning Extracted Event,They ascend.,0:10:04,0:10:09,,,5,,,12,Success,,2,,,
98,Flight(2012),Machine Learning Extracted Event,"The plane shakes, and items fall from the overhead bins.",0:10:39,0:10:46,,,7,,,56,Success,,2,,,
99,Flight(2012),Machine Learning Extracted Event,SOMEONE casts an uneasy sideways glance at SOMEONE.,0:10:48,0:10:55,,,7,,,51,Success,,2,,,
100,Flight(2012),Machine Learning Extracted Event,SOMEONE eyes the horizon as he steers the plane through rough air.,0:12:15,0:12:22,,,7,,,66,Success,,2,,,
101,Flight(2012),Machine Learning Extracted Event,He moves the side stick forward.,0:12:21,0:12:27,,,6,,,32,Success,,2,,,
102,Flight(2012),Machine Learning Extracted Event,The altimeter slides quickly to the right as the plane rises.,0:12:29,0:12:36,,,7,,,61,Success,,2,,,
103,Flight(2012),Machine Learning Extracted Event,"They reach a clearing, through clouds and bright sunlight, as SOMEONE levels out.",0:12:41,0:12:49,,,8,,,81,Success,,1,,,
104,Flight(2012),Machine Learning Extracted Event,"SOMEONE smiles, and looks at the passengers from her jump seat.",0:12:54,0:13:01,,,7,,,63,Success,,1,,,
105,Flight(2012),Machine Learning Extracted Event,SOMEONE takes the phone.,0:13:01,0:13:07,,,6,,,24,Success,,1,,,
106,Flight(2012),Machine Learning Extracted Event,"A car speeds past a sign that reads Georgian Gardens, and stops.",0:13:05,0:13:13,,,8,,,64,Fail,,1,Subscene for parallel narratives,,
107,Flight(2012),Machine Learning Extracted Event,"SOMEONE gets out of the car, and runs up to the second floor of a small, run-down apartment complex.",0:13:14,0:13:23,,,9,,,100,Fail,,1,Subscene for parallel narratives,,
108,Flight(2012),Machine Learning Extracted Event,"She pulls out a key as she reaches the door, only to discover it is slightly open.",0:13:23,0:13:31,,,8,,,82,Fail,,1,Subscene for parallel narratives,,
109,Flight(2012),Machine Learning Extracted Event,She smiles at him.,0:14:08,0:14:14,,,6,,,18,Fail,,1,Subscene for parallel narratives,,
110,Flight(2012),Machine Learning Extracted Event,He stands in the doorway.,0:14:16,0:14:21,,,5,,,25,Fail,,1,Subscene for parallel narratives,,
111,Flight(2012),Machine Learning Extracted Event,She kicks the door closed.,0:14:19,0:14:25,,,6,,,26,Fail,,1,Subscene for parallel narratives,,
112,Flight(2012),Machine Learning Extracted Event,"She flings her bag on a table and it hits a box, which falls and scatters its contents.",0:14:35,0:14:43,,,8,,,87,Fail,,1,Subscene for parallel narratives,,
113,Flight(2012),Machine Learning Extracted Event,She spots a syringe.,0:14:39,0:14:44,,,5,,,20,Fail,,1,Subscene for parallel narratives,,
114,Flight(2012),Machine Learning Extracted Event,SOMEONE speaks into the intercom.,0:14:48,0:14:53,,,5,,,33,Success,,1,,,
115,Flight(2012),Machine Learning Extracted Event,"He pours the contents of a small vodka bottle into a juice container, hidden from the passenger's view.",0:14:56,0:15:05,,,9,,,103,Success,,2,,,
116,Flight(2012),Machine Learning Extracted Event,He tosses three miniature bottles as he grabs the spiked orange juice.,0:15:28,0:15:35,,,7,,,70,Success,,2,,,
117,Flight(2012),Machine Learning Extracted Event,"He takes a long drink as SOMEONE exits the toilet, and he goes in.",0:15:33,0:15:40,,,7,,,66,Success,,1,,,
118,Flight(2012),Machine Learning Extracted Event,"In SOMEONE's apartment, framed photographs on the table show a younger, smiling SOMEONE with her mother.",0:15:43,0:15:50,,,7,,,104,Fail,,1,Subscene for parallel narratives,,
119,Flight(2012),Machine Learning Extracted Event,"SOMEONE lightly taps the syringe,",0:15:47,0:15:53,,,6,,,33,Fail,,1,Subscene for parallel narratives,,
120,Flight(2012),Machine Learning Extracted Event,then pushes out a small drop that slides down the needle.,0:15:50,0:15:57,,,7,,,57,Fail,,1,Subscene for parallel narratives,,
121,Flight(2012),Machine Learning Extracted Event,"She tightens a tourniquet around her arm, and holds the end securely in her mouth.",0:15:53,0:15:59,,,6,,,82,Fail,,1,Subscene for parallel narratives,,
122,Flight(2012),Machine Learning Extracted Event,She positions the needle and injects.,0:15:56,0:16:02,,,6,,,37,Fail,,1,Subscene for parallel narratives,,
123,Flight(2012),Machine Learning Extracted Event,Her arms relax and she lets go of the syringe.,0:16:07,0:16:13,,,6,,,46,Fail,,1,Subscene for parallel narratives,,
124,Flight(2012),Machine Learning Extracted Event,"She leans back, eyes closed.",0:16:14,0:16:19,,,5,,,28,Fail,,1,Subscene for parallel narratives,,
125,Flight(2012),Machine Learning Extracted Event,The strap falls from her mouth.,0:16:16,0:16:21,,,5,,,31,Fail,,1,Subscene for parallel narratives,,
126,Flight(2012),Machine Learning Extracted Event,Her head lolls to her shoulder.,0:16:24,0:16:30,,,6,,,31,Fail,,1,Subscene for parallel narratives,,
127,Flight(2012),Machine Learning Extracted Event,Her dilated pupils shrink to tiny dots.,0:16:33,0:16:39,,,6,,,39,Fail,,1,Subscene for parallel narratives,,
128,Flight(2012),Machine Learning Extracted Event,"She grabs the packet of cocaine that Kip gave her, and falls on her side.",0:16:39,0:16:46,,,7,,,73,Fail,,1,Subscene for parallel narratives,,
129,Flight(2012),Machine Learning Extracted Event,"The packet falls, inches from her hand.",0:16:45,0:16:51,,,6,,,39,Fail,,1,Subscene for parallel narratives,,
130,Flight(2012),Machine Learning Extracted Event,"Her fingers reach out, but only push it away.",0:16:47,0:16:52,,,5,,,45,Fail,,1,Subscene for parallel narratives,,
131,Flight(2012),Machine Learning Extracted Event,"Her hand goes still, as feet appear under the door.",0:16:54,0:16:59,,,5,,,51,Fail,,1,Subscene for parallel narratives,,
132,Flight(2012),Machine Learning Extracted Event,"In the cockpit, SOMEONE sleeps with paper covering his eyes, and his sunglasses over the paper.",0:17:08,0:17:16,,,8,,,95,Success,,2,,,
133,Flight(2012),Machine Learning Extracted Event,SOMEONE's yoke jerks away.,0:17:36,0:17:41,,,5,,,26,Success,,1,,,
134,Flight(2012),Machine Learning Extracted Event,"The yoke slips out of SOMEONE's hands as SOMEONE struggles to gain control, and the plane begins to dive.",0:17:56,0:18:05,,,9,,,105,Success,,2,,,
135,Flight(2012),Machine Learning Extracted Event,"The wheels of the aircraft unfold. In the galley, SOMEONE grabs the phone.",0:18:52,0:19:00,,,8,,,74,Success,,2,,,
136,Flight(2012),Machine Learning Extracted Event,SOMEONE unbuckles her seatbelt.,0:20:04,0:20:10,,,6,,,31,Success,,2,,,
137,Flight(2012),Machine Learning Extracted Event,"Alarmed passengers grasp the seat in front of them, as a flight attendant tries to assist someone.",0:20:22,0:20:31,,,9,,,98,Success,,2,,,
138,Flight(2012),Machine Learning Extracted Event,"SOMEONE falls, and hits her head.",0:21:02,0:21:08,,,6,,,33,Success,,2,,,
139,Flight(2012),Machine Learning Extracted Event,SOMEONE lies still.,0:21:06,0:21:12,,,6,,,19,Success,,2,,,
140,Flight(2012),Machine Learning Extracted Event,SOMEONE banks to the left.,0:21:51,0:21:57,,,6,,,26,Success,,1,,,
141,Flight(2012),Machine Learning Extracted Event,The planes turns upside down.,0:22:02,0:22:07,,,5,,,29,Success,,1,,,
142,Flight(2012),Machine Learning Extracted Event,She slides the side stick forward.,0:22:08,0:22:14,,,6,,,34,Success,,1,,,
143,Flight(2012),Machine Learning Extracted Event,One wheel gets stuck while retracting.,0:22:12,0:22:18,,,6,,,38,Success,,1,,,
144,Flight(2012),Machine Learning Extracted Event,"Inside the cabin, SOMEONE comes to a rest on the ceiling, and SOMEONE sees a young boy slip out of his seat.",0:22:15,0:22:23,,,8,,,108,Success,,1,,,
145,Flight(2012),Machine Learning Extracted Event,"Outside Georgian Gardens, a medical aide wheels SOMEONE beside Fran, as the upside down plane flies past.",0:22:23,0:22:33,,,10,,,105,Success,,1,,,
146,Flight(2012),Machine Learning Extracted Event,"SOMEONE crawls to the boy, and straps him back in his seat.",0:22:55,0:23:01,,,6,,,59,Success,,1,,,
147,Flight(2012),Machine Learning Extracted Event,A light flashes on the control panel in the cockpit.,0:23:02,0:23:09,,,7,,,52,Success,,1,,,
148,Flight(2012),Machine Learning Extracted Event,"The plane turns upright, and a still unconscious SOMEONE falls on some passengers.",0:23:42,0:23:50,,,8,,,82,Success,,2,,,
149,Flight(2012),Machine Learning Extracted Event,"SOMEONE loses her hold, and falls against the bulkhead.",0:23:56,0:24:02,,,6,,,55,Success,,2,,,
150,Flight(2012),Machine Learning Extracted Event,Fire and smoke billow from the left engine.,0:24:07,0:24:13,,,6,,,43,Success,,2,,,
151,Flight(2012),Machine Learning Extracted Event,"SOMEONE tumbles across the galley, as the plane straightens out.",0:24:09,0:24:16,,,7,,,64,Success,,2,,,
152,Flight(2012),Machine Learning Extracted Event,Gauges drop.,0:24:21,0:24:26,,,5,,,12,Success,,2,,,
153,Flight(2012),Machine Learning Extracted Event,"They head towards a church, sitting on an expanse of open land.",0:24:38,0:24:45,,,7,,,63,Success,,2,,,
154,Flight(2012),Machine Learning Extracted Event,"SOMEONE steers the plane away from the church's steeple,",0:24:45,0:24:51,,,6,,,56,Success,,2,,,
155,Flight(2012),Machine Learning Extracted Event,but the wing grazes the top.,0:24:48,0:24:53,,,5,,,28,Success,,2,,,
156,Flight(2012),Machine Learning Extracted Event,"The plane hits the ground. SOMEONE flies past the cockpit, as SOMEONE bangs his head and passes out.",0:25:04,0:25:13,,,9,,,100,Success,,1,,,
157,Flight(2012),Machine Learning Extracted Event,"Through blurred vision, SOMEONE sees SOMEONE leaning to the side in his seat, as he is dragged out.",0:25:11,0:25:18,,,7,,,99,Success,,1,,,
158,Flight(2012),Machine Learning Extracted Event,"SOMEONE is slumped next to SOMEONE's still body, her head crushed by a collapsed bulkhead.",0:25:27,0:25:33,,,6,,,90,Success,,1,,,
159,Flight(2012),Machine Learning Extracted Event,"Smoke blocks SOMEONE's vision, as he is pulled away from the plane.",0:25:37,0:25:44,,,7,,,67,Success,,1,,,
160,Flight(2012),Machine Learning Extracted Event,"As people in white robes help the passengers, a fire engine arrives.",0:25:40,0:25:47,,,7,,,68,Success,,1,,,
161,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks up at a female EMT leaning over him,",0:25:57,0:26:04,,,7,,,50,Success,,1,,,
162,Flight(2012),Machine Learning Extracted Event,then turns towards the black smoke rising from the crash site.,0:26:00,0:26:07,,,7,,,62,Success,,1,,,
163,Flight(2012),Machine Learning Extracted Event,"The broken off spire from the church lies some distance away from an ambulance, as rescue workers help survivors.",0:26:05,0:26:15,,,10,,,113,Success,,1,,,
164,Flight(2012),Machine Learning Extracted Event,"In a hospital ward, SOMEONE slowly opens his right eye.",0:26:16,0:26:22,,,6,,,55,Fail,,0,,,
165,Flight(2012),Machine Learning Extracted Event,The other eye is covered by a bandage.,0:26:18,0:26:24,,,6,,,38,Success,,1,,,
166,Flight(2012),Machine Learning Extracted Event,"He sees a seated man on the TV gesturing, as rescue workers push a stretcher behind him.",0:26:24,0:26:32,,,8,,,88,Success,,1,,,
167,Flight(2012),Machine Learning Extracted Event,"The tagline reads, Breaking news. SOMEONE Hogg, South Jet 227 passenger.",0:26:29,0:26:38,,,9,,,72,Success,,1,,,
168,Flight(2012),Machine Learning Extracted Event,"A field reporter for Channel 12 News comments live from the site, as lights flicker in the background.",0:26:35,0:26:43,,,8,,,102,Success,,1,,,
169,Flight(2012),Machine Learning Extracted Event,"On TV, cell phone footage shows the descent of the plane, as it swerves and slices off the church steeple.",0:26:45,0:26:55,,,10,,,106,Success,,1,,,
